/*
 totaltime = 1419000 miliseconds
*/
LHornSolver: {Program: mc91.pl, Safety: unknown, Iteration: 2, Time: 87812.78600000001 millisecs.} 
LHornSolver: {Program: mcmillan2006_true-unreach-call.c.i.pl, Safety: unknown, Iteration: 1, Time: 465.184 millisecs.} 
LHornSolver: {Program: merge.nts.pl, Safety: solved, Iteration: 1, Time: 1805.445 millisecs.} 
LHornSolver: {Program: palindrome.nts.pl, Safety: solved, Iteration: 1, Time: 672.813 millisecs.} 
LHornSolver: {Program: parity.nts.pl, Safety: unknown, Iteration: 1, Time: 2745.009 millisecs.} 
LHornSolver: {Program: recHanoi01_true-unreach-call_true-termination.c.pl, Safety: unknown, Iteration: 1, Time: 14619.435 millisecs.} 
LHornSolver: {Program: recHanoi02_true-unreach-call_true-termination.c.pl, Safety: unknown, Iteration: 1, Time: 718.9580000000001 millisecs.} 
LHornSolver: {Program: recHanoi03_true-unreach-call_true-termination.c.pl, Safety: unknown, Iteration: 1, Time: 735.413 millisecs.} 
LHornSolver: {Program: remainder.nts.pl, Safety: unsolved, Iteration: 1, Time: 14819.615 millisecs.} 
LHornSolver: {Program: revlen.pl, Safety: solved, Iteration: 2, Time: 429.573 millisecs.} 
LHornSolver: {Program: running.nts.pl, Safety: unknown, Iteration: 1, Time: 9436.761 millisecs.} 
LHornSolver: {Program: sum_10x0_false-unreach-call.c.pl, Safety: unknown, Iteration: 1, Time: 370.444 millisecs.} 
LHornSolver: {Program: sum_10x0_true-unreach-call.c.pl, Safety: unknown, Iteration: 1, Time: 381.67 millisecs.} 
LHornSolver: {Program: sum_2x3_false-unreach-call.c.pl, Safety: unknown, Iteration: 1, Time: 325.371 millisecs.} 
LHornSolver: {Program: sum_2x3_true-unreach-call.c.pl, Safety: unknown, Iteration: 1, Time: 338.2329999999999 millisecs.} 
LHornSolver: {Program: sum_non_eq_false-unreach-call.c.pl, Safety: unknown, Iteration: 1, Time: 724.775 millisecs.} 
LHornSolver: {Program: sum_non_eq_true-unreach-call.c.pl, Safety: unknown, Iteration: 1, Time: 724.288 millisecs.} 
LHornSolver: {Program: sum_non_false-unreach-call.c.pl, Safety: unknown, Iteration: 1, Time: 775.533 millisecs.} 
LHornSolver: {Program: sum_non_true-unreach-call.c.pl, Safety: unknown, Iteration: 1, Time: 824.324 millisecs.} 
LHornSolver: {Program: triple.nts.pl, Safety: unknown, Iteration: 1, Time: 1068.475 millisecs.} 
LHornSolver: {Program: revlen.pl, Safety: solved, Iteration: 1, Time: 114.021 millisecs.} 
LHornSolver: {Program: identity.nts.pl, Safety: solved, Iteration: 1, Time: 741.4789999999999 millisecs.} 
LHornSolver: {Program: addition.nts.pl, Safety: solved, Iteration: 1, Time: 598.073 millisecs.} 
LHornSolver: {Program: remainder.nts.pl, Safety: unsolved, Iteration: 1, Time: 14914.519 millisecs.} 
LHornSolver: {Program: running.nts.pl, Safety: unknown, Iteration: 1, Time: 9127.722 millisecs.} 
